ID,First Name,Last Name,Gender,Age,Salary,DOB,Education,Occupation
1000,Owen,Craig,Male,18,5434,02/05/81,Master,Medic
1001,Valeria,Richards,Female,29,3768,29/08/1976,Doctoral,Composer
1002,Kimberly,Douglas,Female,22,869,02/06/81,Master,Salesman
1003,Audrey,Campbell,Female,30,6928,29/08/1977,Master,Veterinarian
1004,Jordan,Kelly,Male,18,623,02/07/81,Bachelor,Insurer
1005,Fenton,Perkins,Male,20,9036,29/08/1978,Bachelor,Carpenter
1006,Audrey,Cunningham,Female,24,8880,02/06/81,Primary,Economist
1007,Jordan,Hill,Male,24,7840,29/08/1977,Lower secondary,Interior Designer
1008,Miller,Rogers,Male,18,3844,02/07/81,Lower secondary,Cook
1009,Alissa,Armstrong,Female,27,2626,29/08/1978,Doctoral,Programmer
1010,Andrew,Clark,Male,,3488,02/08/81,Master,Programmer
1011,Emma,Jones,Female,29,3247,29/08/1979,Lower secondary,Botanist
1012,George,Morrison,Male,28,2212,02/07/81,Upper secondary,Insurer
1013,Kellan,Thompson,Male,24,6133,29/08/1978,Lower secondary,Veterinarian
1014,Adison,Crawford,Male,22,7316,02/08/81,Upper secondary,Scientist
1015,Samantha,Alexander,Female,21,4726,29/08/1979,Primary,Driver
1016,Alen,Alexander,Male,22,9298,02/09/81,Doctoral,Actor
1017,Roman,Perry,Male,23,6434,29/08/1980,Doctoral,Interpreter
1018,Daryl,Martin,Male,28,8966,02/08/81,Lower secondary,Astronomer
1019,John,Mason,Male,25,2237,29/08/1979,Bachelor,Salesman
1020,Albert,Parker,Male,25,1760,02/09/81,Upper secondary,Graphic Designer
1021,Garry,Watson,Male,21,2699,29/08/1980,Bachelor,Lecturer
1022,Melanie,Johnson,Female,28,4965,02/10/81,Primary,Biochemist
1023,Wilson,Barrett,Male,19,2475,29/08/1981,Lower secondary,Insurer
1024,Aida,Jones,Female,25,3043,02/09/81,Bachelor,Salesman
1025,Tony,Barnes,Male,29,9340,29/08/1980,Upper secondary,Chemist
1026,Amelia,West,Female,24,9016,02/10/81,Lower secondary,Engineer
1027,Jasmine,Watson,Female,22,8864,29/08/1981,Bachelor,Driver
1028,Haris,Davis,Male,26,6264,02/11/81,Bachelor,Biochemist
1029,Melissa,Cameron,Female,27,2544,29/08/1982,Bachelor,Insurer
1030,Amanda,Cunningham,Female,,6602,02/10/81,Bachelor,Chef
1031,Sarah,Walker,Female,19,9075,29/08/1981,Doctoral,Economist
1032,Maximilian,Russell,Male,19,3630,02/11/81,Lower secondary,Journalist
1033,Aida,Cooper,Female,29,3944,29/08/1982,Lower secondary,Economist
1034,Agata,Holmes,Female,26,4080,02/12/81,Bachelor,Actor
1035,Victor,Harrison,Male,18,2876,29/08/1983,Lower secondary,Medic
1036,Elise,Smith,Female,19,3478,02/11/81,Primary,Fine Artist
1037,Deanna,Richardson,Female,22,6724,29/08/1982,Master,Accountant
1038,Steven,Higgins,Male,24,1353,02/12/81,Master,Biochemist
1039,Daniel,Edwards,Male,23,7217,29/08/1983,Bachelor,Meteorologist
